# Constructed from biom file
OTU ID	sample-3	sample-20	sample-18	sample-8	sample-11	sample-14	sample-2	sample-22	sample-27	sample-25	sample-10	sample-26	sample-17	sample-29	sample-28	sample-13	sample-9	sample-15	sample-16	sample-12	sample-1	sample-5	sample-23	sample-21	sample-4	sample-19	sample-7	sample-6	sample-24
d0e333fd9707f9698dd0b470f8db46be	5536.0	0.0	0.0	0.0	7022.0	0.0	0.0	0.0	0.0	0.0	4084.0	0.0	0.0	0.0	0.0	0.0	3908.0	0.0	0.0	0.0	4740.0	9106.0	0.0	0.0	0.0	0.0	3569.0	0.0	0.0
0ef1ae5f3bb86d9690e78c4aeb7aad7e	2525.0	0.0	0.0	0.0	1620.0	0.0	0.0	0.0	0.0	0.0	969.0	0.0	0.0	0.0	0.0	0.0	829.0	0.0	0.0	0.0	1240.0	1507.0	0.0	0.0	0.0	0.0	1057.0	0.0	0.0
4c574b35d456a3d9326c64370c8b2663	326.0	0.0	0.0	6.0	682.0	22.0	1622.0	0.0	0.0	2414.0	452.0	0.0	13.0	0.0	1927.0	38.0	61.0	0.0	16.0	16.0	343.0	181.0	4325.0	223.0	6528.0	3235.0	726.0	0.0	0.0
804b2776f121ecac122f8a10ceb86707	188.0	0.0	0.0	0.0	196.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	70.0	212.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
1baa6333f4aab88bd86205bce7444af2	147.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	65.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0
87017e49971dbc1db7e512c8d8968d6e	138.0	0.0	0.0	0.0	258.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	87.0	164.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0
99dd15f5c8d83b7b66b6e455e730850c	88.0	0.0	0.0	0.0	2.0	0.0	33.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	7.0	0.0	68.0	3.0	0.0	0.0
0ea578cfc388557f96bebf62df80e2ef	63.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	85.0	64.0	31.0	0.0	7.0	0.0	125.0	0.0	0.0
97ca51c92849016b82f18b6d348acd91	59.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	11.0	41.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0
da8e6582b902bb089dac3240c575999d	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
