# Constructed from biom file
OTU ID	sample-67	sample-13	sample-2	sample-14	sample-51	sample-57	sample-50	sample-28	sample-5	sample-29	sample-53	sample-9	sample-54	sample-44	sample-55	sample-17	sample-24	sample-8	sample-66	sample-40	sample-42	sample-21	sample-10	sample-15	sample-33	sample-61	sample-27	sample-62	sample-46	sample-68	sample-49	sample-60	sample-30	sample-31	sample-45	sample-38	sample-6	sample-25	sample-22	sample-41	sample-63	sample-12	sample-32	sample-16	sample-3	sample-48	sample-34	sample-35	sample-36	sample-7	sample-18	sample-56	sample-11	sample-1	sample-65	sample-20	sample-23	sample-39	sample-64	sample-58	sample-47	sample-43	sample-52	sample-19	sample-4	sample-59	sample-26	sample-37
e3927505e92baf53404e9fcbf08addbe	12098.0	0.0	198.0	3.0	389.0	13.0	365.0	12.0	3.0	0.0	0.0	10978.0	1205.0	4.0	0.0	52.0	24.0	5431.0	1.0	0.0	246.0	3.0	13.0	3.0	8.0	845.0	8204.0	7701.0	4.0	88.0	49.0	5.0	7664.0	0.0	4.0	8466.0	489.0	5.0	2.0	2.0	7454.0	832.0	1044.0	0.0	352.0	4346.0	0.0	0.0	1009.0	0.0	1.0	2.0	12778.0	317.0	4.0	0.0	2346.0	8612.0	646.0	2724.0	0.0	300.0	3.0	379.0	716.0	189.0	0.0	11436.0
8944d3622cf619a2f6138de2e37b57c8	5974.0	42.0	0.0	0.0	108.0	0.0	0.0	2.0	0.0	64.0	0.0	1064.0	6167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	988.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	837.0	0.0	1174.0	2.0	0.0	0.0	0.0	837.0	0.0	6610.0
af0775677de705af54cfe791920ce1f7	5176.0	1095.0	900.0	4.0	537.0	131.0	528.0	0.0	3183.0	318.0	1541.0	3801.0	1807.0	670.0	2.0	32.0	186.0	1563.0	171.0	938.0	101.0	525.0	6.0	1686.0	8.0	889.0	3480.0	4978.0	4.0	870.0	311.0	1066.0	1521.0	8419.0	1244.0	1332.0	2319.0	2434.0	56.0	384.0	5349.0	2519.0	487.0	1496.0	75.0	379.0	2.0	117.0	2907.0	110.0	4581.0	3.0	1011.0	1858.0	4.0	0.0	1352.0	3245.0	1394.0	340.0	1447.0	107.0	4.0	239.0	1424.0	190.0	481.0	2079.0
44638835faece69a72a9959d8264c8c5	4486.0	456.0	1957.0	406.0	5234.0	870.0	488.0	2124.0	142.0	828.0	4677.0	0.0	6304.0	0.0	81.0	3279.0	1413.0	2672.0	1490.0	1787.0	491.0	1048.0	1149.0	2453.0	1371.0	2055.0	3653.0	1330.0	1348.0	3670.0	3039.0	6416.0	3746.0	1158.0	3487.0	0.0	835.0	0.0	725.0	529.0	6481.0	19.0	1764.0	1407.0	487.0	4816.0	2974.0	2135.0	1880.0	934.0	0.0	16.0	5765.0	3052.0	2821.0	325.0	2119.0	4910.0	1617.0	1524.0	1184.0	2293.0	2197.0	896.0	4052.0	815.0	952.0	1889.0
4f3ec4067f40f0ca6dfc0ec2523026f9	2389.0	3595.0	3423.0	4.0	3.0	2383.0	5028.0	2142.0	2983.0	1992.0	5712.0	11.0	8984.0	399.0	15.0	2359.0	576.0	1509.0	2986.0	1515.0	2181.0	1032.0	832.0	2774.0	273.0	4766.0	3439.0	5005.0	2404.0	7622.0	852.0	3394.0	2401.0	6.0	4020.0	7.0	3205.0	5.0	224.0	264.0	5731.0	6737.0	2739.0	4946.0	216.0	2312.0	7.0	7765.0	4990.0	4357.0	17.0	22.0	3348.0	3187.0	7.0	9.0	2362.0	3539.0	1789.0	989.0	2603.0	1496.0	10.0	365.0	2325.0	440.0	436.0	3850.0
f47b7d3cbd1160fed0aa5aa3e3893abd	2208.0	892.0	803.0	1209.0	967.0	967.0	522.0	1773.0	972.0	1323.0	854.0	1379.0	9079.0	1006.0	91.0	1746.0	663.0	529.0	1371.0	516.0	69.0	453.0	734.0	462.0	384.0	812.0	373.0	1550.0	1490.0	1517.0	633.0	1486.0	433.0	1287.0	1421.0	1995.0	491.0	306.0	110.0	46.0	1282.0	2320.0	1452.0	464.0	45.0	466.0	1117.0	1673.0	497.0	744.0	1717.0	14.0	588.0	444.0	562.0	1031.0	1068.0	1397.0	1631.0	270.0	945.0	723.0	1007.0	425.0	547.0	504.0	99.0	4839.0
2c8e60f2f56a3a9ab0c377334c63bc5c	1621.0	1331.0	4001.0	0.0	0.0	0.0	1334.0	0.0	1234.0	828.0	0.0	0.0	0.0	696.0	0.0	0.0	0.0	0.0	2104.0	0.0	0.0	0.0	0.0	0.0	773.0	2.0	0.0	0.0	0.0	0.0	2306.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	63.0	95.0	0.0	0.0	2264.0	0.0	76.0	0.0	5.0	0.0	0.0	0.0	2.0	9.0	1151.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	1274.0	0.0	0.0	0.0	6564.0
0c4fc86d3fd10c70bc25189155a68f5d	1410.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	272.0	0.0	164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	197.0	0.0	0.0	0.0	0.0	107.0	0.0	1046.0
e86a121038e4569b6fee20c0fcd11f99	1375.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	451.0	0.0	0.0	0.0	0.0	0.0	0.0	347.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	894.0
1a0cf792da592526d97d79973a82237e	1311.0	0.0	0.0	2.0	0.0	0.0	2.0	5.0	4.0	3.0	874.0	5.0	1267.0	29.0	0.0	5082.0	2656.0	941.0	0.0	3.0	0.0	0.0	4229.0	2.0	0.0	0.0	14.0	420.0	1.0	0.0	0.0	2698.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3436.0	0.0	0.0	7.0	0.0	11.0	12.0	6129.0	2.0	4651.0	6.0	0.0	0.0	0.0	2.0	0.0	2577.0	759.0	2847.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	1346.0
