# Constructed from biom file
OTU ID	sample-80	sample-16	sample-110	sample-14	sample-2	sample-62	sample-115	sample-30	sample-74	sample-101	sample-125	sample-21	sample-41	sample-69	sample-120	sample-7	sample-70	sample-88	sample-82	sample-85	sample-10	sample-27	sample-50	sample-9	sample-107	sample-91	sample-33	sample-11	sample-18	sample-67	sample-63	sample-65	sample-31	sample-94	sample-123	sample-42	sample-17	sample-60	sample-118	sample-71	sample-26	sample-86	sample-39	sample-104	sample-106	sample-52	sample-45	sample-3	sample-5	sample-93	sample-79	sample-105	sample-100	sample-43	sample-1	sample-4	sample-81	sample-34	sample-99	sample-111	sample-116	sample-38	sample-19	sample-23	sample-20	sample-6	sample-64	sample-55	sample-117	sample-44	sample-49	sample-76	sample-66	sample-103	sample-37	sample-53	sample-61	sample-109	sample-96	sample-22	sample-56	sample-40	sample-48	sample-72	sample-102	sample-77	sample-97	sample-87	sample-47	sample-84	sample-95	sample-124	sample-73	sample-24	sample-108	sample-122	sample-58	sample-92	sample-59	sample-121	sample-114	sample-29	sample-68	sample-32	sample-8	sample-36	sample-35	sample-25	sample-78	sample-57	sample-46	sample-75	sample-98	sample-113	sample-13
f99ea0ba21eeae79dceefd6dcddf67cc	213.0	862.0	0.0	0.0	0.0	0.0	1030.0	0.0	0.0	0.0	1682.0	263.0	1313.0	3560.0	0.0	0.0	0.0	602.0	0.0	0.0	1153.0	0.0	2928.0	0.0	0.0	2529.0	0.0	0.0	0.0	0.0	0.0	212.0	1797.0	0.0	176.0	0.0	0.0	1702.0	0.0	0.0	885.0	0.0	1009.0	258.0	703.0	0.0	177.0	0.0	1662.0	0.0	0.0	0.0	0.0	0.0	0.0	903.0	0.0	570.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6176.0	897.0	0.0	0.0	598.0	559.0	0.0	0.0	0.0	0.0	118.0	664.0	283.0	1072.0	0.0	1607.0	0.0	0.0	0.0	0.0	423.0	0.0	0.0	0.0	672.0	0.0	0.0	0.0	484.0	45.0	0.0	0.0	395.0	0.0	0.0	0.0	0.0	0.0	309.0	0.0	194.0	0.0	1197.0	3.0	421.0	0.0	0.0	0.0	339.0
05de16546ee0fb153a37b972f06157cd	180.0	2136.0	0.0	0.0	0.0	0.0	1344.0	0.0	0.0	0.0	1067.0	208.0	396.0	1197.0	0.0	0.0	0.0	635.0	0.0	0.0	0.0	0.0	382.0	0.0	0.0	2071.0	0.0	0.0	0.0	0.0	0.0	733.0	47.0	0.0	161.0	0.0	0.0	1485.0	0.0	0.0	333.0	0.0	316.0	261.0	325.0	0.0	298.0	0.0	1271.0	0.0	0.0	0.0	0.0	0.0	0.0	510.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1099.0	0.0	0.0	0.0	114.0	9.0	0.0	0.0	0.0	0.0	453.0	93.0	56.0	255.0	0.0	403.0	0.0	0.0	0.0	0.0	201.0	0.0	0.0	0.0	481.0	0.0	0.0	0.0	329.0	44.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	95.0	0.0	2.0	0.0	408.0	0.0	0.0	0.0	0.0
2206e898973624d43ba8b86af2191a8c	146.0	242.0	0.0	0.0	0.0	0.0	141.0	0.0	0.0	0.0	156.0	63.0	324.0	382.0	0.0	0.0	0.0	792.0	0.0	0.0	624.0	0.0	264.0	0.0	0.0	763.0	0.0	0.0	0.0	0.0	0.0	233.0	314.0	0.0	2.0	0.0	0.0	834.0	0.0	0.0	475.0	0.0	122.0	444.0	87.0	0.0	64.0	0.0	437.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	1146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	104.0	147.0	0.0	0.0	0.0	0.0	267.0	274.0	577.0	445.0	0.0	149.0	0.0	0.0	0.0	0.0	774.0	0.0	0.0	0.0	783.0	0.0	0.0	0.0	45.0	26.0	0.0	0.0	218.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	448.0	0.0	0.0	0.0	235.0	0.0	0.0	0.0	35.0
2403d798ce754c88e79546bea89983ad	91.0	338.0	0.0	0.0	0.0	0.0	163.0	0.0	0.0	0.0	75.0	52.0	42.0	330.0	0.0	0.0	0.0	400.0	0.0	0.0	170.0	0.0	207.0	0.0	0.0	821.0	0.0	0.0	0.0	0.0	0.0	330.0	169.0	0.0	55.0	0.0	0.0	617.0	0.0	0.0	594.0	0.0	138.0	461.0	15.0	0.0	146.0	0.0	247.0	0.0	0.0	0.0	0.0	0.0	0.0	244.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	458.0	117.0	0.0	0.0	675.0	144.0	0.0	0.0	0.0	0.0	122.0	66.0	64.0	104.0	0.0	284.0	0.0	0.0	0.0	0.0	171.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	41.0	40.0	0.0	0.0	2023.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	239.0	0.0	0.0	0.0	917.0	0.0	0.0	0.0	95.0
dfc68d57d94311e8a2009c344f4a2610	84.0	443.0	0.0	0.0	0.0	0.0	458.0	0.0	0.0	0.0	0.0	293.0	194.0	1036.0	0.0	0.0	0.0	215.0	0.0	0.0	259.0	0.0	0.0	0.0	0.0	2040.0	0.0	0.0	0.0	0.0	0.0	73.0	503.0	0.0	95.0	0.0	0.0	975.0	0.0	0.0	621.0	0.0	324.0	225.0	374.0	0.0	256.0	0.0	1161.0	0.0	0.0	0.0	0.0	0.0	0.0	1306.0	0.0	425.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	693.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	162.0	0.0	49.0	255.0	0.0	378.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	343.0	16.0	0.0	0.0	798.0	0.0	0.0	0.0	0.0	0.0	472.0	0.0	244.0	0.0	2069.0	0.0	761.0	0.0	0.0	0.0	0.0
e569cf32f5f61fb6d8bb4064f69a671f	67.0	75.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0	80.0	50.0	278.0	0.0	0.0	0.0	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.0	0.0	0.0	0.0	101.0	299.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	39.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	310.0	145.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	367.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	111.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	41.0
30d17bbd45ef2d56c505ac75d53fa2c2	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a9819e8a762da4d2055e344754a60ff5	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	105.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	1822.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	206.0	0.0	0.0	326.0	69.0	0.0	301.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2617.0	154.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	432.0	0.0	22.0	929.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.0	0.0	58.0	162.0	0.0	0.0	0.0	0.0	6.0
d39fe814245300c2335ffbe81281b9b8	46.0	754.0	0.0	0.0	0.0	0.0	243.0	0.0	0.0	0.0	631.0	198.0	53.0	249.0	0.0	0.0	0.0	103.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	3159.0	0.0	0.0	0.0	0.0	0.0	642.0	3032.0	0.0	0.0	0.0	0.0	1973.0	0.0	0.0	91.0	0.0	5607.0	879.0	15.0	0.0	177.0	0.0	2158.0	0.0	0.0	0.0	0.0	0.0	0.0	296.0	0.0	1592.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	742.0	0.0	0.0	0.0	2.0	635.0	0.0	0.0	0.0	0.0	653.0	1400.0	24.0	1561.0	0.0	2350.0	0.0	0.0	0.0	0.0	8919.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	112.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	826.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
426ce375e98ab69f0aed9f52550ee692	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	44.0	0.0	0.0	0.0	0.0	476.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	167.0	634.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	27.0	62.0	91.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45816a08a4e080e875f96a9e11f98a83	38.0	879.0	0.0	0.0	0.0	0.0	772.0	0.0	0.0	0.0	527.0	175.0	42.0	1172.0	0.0	0.0	0.0	117.0	0.0	0.0	639.0	0.0	0.0	0.0	0.0	1636.0	0.0	0.0	0.0	0.0	0.0	77.0	252.0	0.0	256.0	0.0	0.0	278.0	0.0	0.0	0.0	0.0	204.0	409.0	969.0	0.0	192.0	0.0	795.0	0.0	0.0	0.0	0.0	0.0	0.0	568.0	0.0	722.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1255.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0	66.0	134.0	142.0	139.0	0.0	343.0	0.0	0.0	0.0	0.0	264.0	0.0	0.0	0.0	346.0	0.0	0.0	0.0	804.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	386.0	0.0	155.0	0.0	0.0	0.0	566.0	0.0	0.0	0.0	0.0
ffeca7818a3262cc9959aeaef9e3e5f7	30.0	75.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	40.0	34.0	665.0	0.0	0.0	0.0	356.0	0.0	0.0	0.0	0.0	764.0	0.0	0.0	450.0	0.0	0.0	0.0	0.0	0.0	79.0	122.0	0.0	23.0	0.0	0.0	43.0	0.0	0.0	585.0	0.0	67.0	475.0	319.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.0	0.0	0.0	2192.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	62.0	0.0	0.0	0.0	0.0	31.0	0.0	17.0	106.0	0.0	55.0	0.0	0.0	0.0	0.0	305.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	420.0	111.0	0.0	0.0	922.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	255.0	0.0	27.0	0.0	286.0	0.0	0.0	0.0	0.0
