# Constructed from biom file
OTU ID	sample-19	sample-129	sample-73	sample-61	sample-152	sample-160	sample-173	sample-30	sample-110	sample-112	sample-65	sample-133	sample-169	sample-11	sample-8	sample-51	sample-170	sample-136	sample-124	sample-189	sample-35	sample-154	sample-103	sample-111	sample-184	sample-40	sample-89	sample-13	sample-119	sample-45	sample-83	sample-115	sample-66	sample-150	sample-77	sample-9	sample-125	sample-48	sample-34	sample-4	sample-120	sample-88	sample-128	sample-105	sample-14	sample-16	sample-39	sample-50	sample-181	sample-69	sample-121	sample-52	sample-135	sample-94	sample-15	sample-141	sample-174	sample-177	sample-164	sample-42	sample-109	sample-84	sample-92	sample-137	sample-118	sample-106	sample-55	sample-80	sample-138	sample-28	sample-183	sample-144	sample-146	sample-6	sample-26	sample-186	sample-2	sample-23	sample-91	sample-175	sample-75	sample-168	sample-53	sample-87	sample-113	sample-62	sample-25	sample-123	sample-104	sample-33	sample-134	sample-12	sample-10	sample-167	sample-78	sample-126	sample-179	sample-71	sample-99	sample-24	sample-127	sample-165	sample-46	sample-1	sample-44	sample-17	sample-122	sample-171	sample-142	sample-140	sample-188	sample-107	sample-159	sample-60	sample-155	sample-57	sample-147	sample-93	sample-79	sample-86	sample-178	sample-76	sample-70	sample-36	sample-116	sample-59	sample-145	sample-47	sample-130	sample-108	sample-81	sample-158	sample-156	sample-187	sample-37	sample-162	sample-163	sample-98	sample-54	sample-85	sample-43	sample-32	sample-176	sample-97	sample-185	sample-27	sample-31	sample-95	sample-21	sample-153	sample-149	sample-132	sample-58	sample-64	sample-7	sample-56	sample-82	sample-139	sample-166	sample-190	sample-41	sample-38	sample-182	sample-49	sample-5	sample-161	sample-172	sample-74	sample-63	sample-29	sample-20	sample-102	sample-90	sample-96	sample-100	sample-131	sample-157	sample-117	sample-68	sample-151	sample-114	sample-101	sample-67	sample-72	sample-143	sample-180	sample-3	sample-22	sample-148	sample-18
84fa1f358bde7f96c329638d2d559c44	9653.0	13.0	12.0	0.0	27731.0	0.0	12.0	3605.0	14.0	9.0	423.0	14410.0	17477.0	21.0	4800.0	14424.0	17814.0	18.0	8.0	19.0	10641.0	0.0	14795.0	18.0	0.0	2426.0	899.0	12441.0	10.0	7.0	17449.0	21539.0	11.0	13192.0	14350.0	1417.0	0.0	6376.0	5262.0	17642.0	1546.0	13195.0	20589.0	3349.0	29187.0	7.0	16.0	101.0	7.0	0.0	3396.0	17344.0	5.0	16005.0	2093.0	21930.0	22.0	840.0	1.0	5.0	10.0	0.0	15.0	18.0	9.0	3312.0	7.0	8.0	13894.0	14.0	5062.0	17470.0	12.0	1998.0	18735.0	15110.0	0.0	4438.0	0.0	25670.0	14.0	20540.0	666.0	16.0	11.0	17.0	24215.0	9.0	21709.0	946.0	10.0	2671.0	1921.0	17661.0	3688.0	0.0	4.0	2.0	9.0	7145.0	12024.0	7.0	6.0	14.0	226.0	3.0	15.0	24.0	2.0	20270.0	133.0	13934.0	10459.0	0.0	3830.0	12.0	9.0	10.0	16785.0	6.0	5.0	3.0	1.0	10773.0	5.0	5.0	9.0	24190.0	15.0	17927.0	15.0	1741.0	1397.0	18597.0	8777.0	7911.0	26385.0	14.0	910.0	6.0	0.0	5539.0	12544.0	4252.0	0.0	14.0	6108.0	16808.0	3226.0	0.0	16396.0	21090.0	6.0	1123.0	6090.0	21.0	10724.0	1751.0	2377.0	9.0	5545.0	6.0	4517.0	305.0	10.0	0.0	20.0	7.0	27.0	2221.0	7467.0	215.0	0.0	10661.0	139.0	28190.0	1209.0	3.0	3926.0	6728.0	24529.0	87.0	1994.0	7.0	0.0	19.0	22526.0	8.0	4.0	10419.0
a40291e57d11934a13572b3efa9eed46	4590.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2299.0
a94a025584361cc56e7c38b3aec473de	3587.0	0.0	0.0	0.0	0.0	0.0	0.0	2527.0	0.0	0.0	1912.0	0.0	0.0	171.0	2028.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1309.0	3914.0	1078.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	748.0	0.0	0.0	2600.0	0.0	0.0	0.0	0.0	1.0	457.0	0.0	6246.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1185.0	1956.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	0.0	0.0	581.0	5118.0	0.0	0.0	0.0	0.0	130.0	0.0	3878.0	0.0	2850.0	3633.0	10180.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	392.0	1283.0	0.0	0.0	3403.0	72.0	0.0	0.0	0.0	0.0	0.0	2902.0	0.0	0.0	5011.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11882.0	0.0	0.0	2591.0	0.0	0.0	0.0	0.0	2.0	1618.0	2954.0	0.0	4967.0	2735.0	2432.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5132.0	0.0	2986.0	0.0	0.0	0.0	0.0	0.0	261.0	0.0	0.0	2920.0	2367.0	0.0	0.0	1682.0	0.0	0.0	1149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4417.0	0.0	962.0	2146.0	0.0	0.0	0.0	2923.0	0.0	0.0	0.0	0.0	2576.0	0.0	0.0	0.0	0.0	2917.0	1318.0	0.0	350.0
096e8ae3023a692b8828025004264363	3556.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1465.0	0.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	150.0	0.0	331.0	189.0	319.0	0.0	22.0	559.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	70.0	0.0	42.0	2682.0	414.0	0.0	1045.0	0.0	0.0	0.0	66.0	241.0	65.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	2031.0	307.0	0.0	0.0	0.0	1391.0	222.0	448.0	0.0	0.0	357.0	86.0	0.0	257.0	271.0	0.0	0.0	0.0	256.0	0.0	96.0	0.0	16.0	0.0	0.0	410.0	0.0	166.0	167.0	145.0	0.0	0.0	0.0	0.0	0.0	60.0	128.0	0.0	0.0	0.0	0.0	207.0	0.0	0.0	1789.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	666.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	3.0	0.0	0.0	0.0	0.0	659.0	0.0	0.0	0.0	0.0	215.0	0.0	3432.0	0.0	0.0	66.0	806.0	207.0	0.0	0.0	0.0	0.0	1835.0	453.0	1179.0	1090.0	0.0	969.0	9.0	320.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	83.0	867.0	349.0	190.0	0.0	43.0	0.0	0.0	0.0	0.0	246.0	0.0	0.0	1007.0	0.0	0.0	686.0	0.0	899.0
e0cf490ccba22d3a619db089e475e5b0	2641.0	0.0	0.0	0.0	0.0	816.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	214.0	0.0	39.0	64.0	0.0	0.0	0.0	586.0	0.0	0.0	0.0	3635.0	0.0	377.0	0.0	0.0	0.0	0.0	0.0	0.0	114.0	5850.0	0.0	891.0	2223.0	70.0	1413.0	155.0	1651.0	542.0	688.0	330.0	0.0	0.0	8.0	0.0	83.0	1042.0	0.0	0.0	2983.0	44.0	2.0	0.0	9408.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	924.0	0.0	0.0	1695.0	0.0	0.0	0.0	0.0	1442.0	0.0	3304.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	518.0	0.0	0.0	0.0	0.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3198.0	0.0	564.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	1796.0	0.0	1738.0	0.0	2.0	0.0	701.0	3.0	2637.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	293.0	0.0	0.0	2033.0	0.0	282.0	5758.0	0.0	0.0	24.0	0.0	2844.0	0.0	0.0	0.0	0.0	210.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1858.0	986.0	0.0	66.0
928adaae33d1d6ddd135d604c678169f	2437.0	137.0	554.0	1034.0	453.0	1112.0	16545.0	20.0	491.0	3417.0	296.0	351.0	59.0	216.0	974.0	195.0	78.0	429.0	278.0	0.0	0.0	429.0	22.0	4059.0	0.0	680.0	76.0	424.0	0.0	5602.0	923.0	717.0	3622.0	47.0	170.0	289.0	41.0	129.0	0.0	1108.0	100.0	361.0	173.0	212.0	75.0	3616.0	9235.0	1426.0	1098.0	2012.0	461.0	442.0	69.0	282.0	254.0	34.0	12022.0	1194.0	6556.0	29.0	1383.0	0.0	1912.0	1203.0	0.0	277.0	1287.0	0.0	279.0	91.0	1502.0	455.0	1252.0	634.0	893.0	400.0	3349.0	662.0	0.0	50.0	17726.0	33.0	1064.0	4231.0	1616.0	481.0	274.0	1749.0	46.0	737.0	0.0	214.0	133.0	167.0	177.0	1332.0	0.0	1104.0	1986.0	1360.0	10.0	2230.0	3520.0	13924.0	2909.0	3746.0	2631.0	4212.0	215.0	56.0	790.0	0.0	101.0	1883.0	1906.0	1213.0	0.0	1184.0	362.0	4058.0	0.0	10475.0	4892.0	680.0	1534.0	3127.0	255.0	0.0	143.0	0.0	0.0	576.0	1148.0	1450.0	393.0	41.0	56.0	1658.0	507.0	0.0	316.0	346.0	22.0	163.0	0.0	0.0	79.0	0.0	41.0	323.0	56.0	0.0	3771.0	325.0	2773.0	5585.0	211.0	342.0	3972.0	0.0	1928.0	5213.0	178.0	633.0	0.0	1780.0	8226.0	571.0	661.0	75.0	47.0	34.0	59.0	92.0	359.0	0.0	326.0	675.0	866.0	174.0	694.0	100.0	1419.0	1488.0	79.0	288.0	432.0	479.0	225.0	523.0
a6fd2d3ed7992d2b1724b0688078453b	2369.0	6.0	447.0	101.0	303.0	699.0	0.0	203.0	165.0	451.0	365.0	752.0	236.0	52.0	179.0	37.0	264.0	171.0	40.0	1.0	28.0	424.0	144.0	3390.0	374.0	130.0	263.0	691.0	5374.0	81.0	143.0	110.0	100.0	1530.0	1773.0	0.0	0.0	688.0	7.0	178.0	20.0	3849.0	52.0	544.0	122.0	139.0	172.0	237.0	30.0	0.0	181.0	361.0	848.0	538.0	536.0	11.0	0.0	492.0	85.0	146.0	139.0	0.0	27.0	230.0	83.0	430.0	56.0	54.0	86.0	548.0	276.0	1664.0	0.0	197.0	725.0	354.0	398.0	892.0	133.0	30.0	129.0	311.0	0.0	501.0	174.0	1097.0	133.0	1415.0	110.0	256.0	126.0	325.0	0.0	510.0	1383.0	0.0	0.0	3.0	0.0	1068.0	45.0	23.0	114.0	21.0	433.0	40.0	1434.0	0.0	62.0	0.0	0.0	459.0	267.0	558.0	47.0	0.0	0.0	466.0	442.0	32.0	0.0	76.0	0.0	1330.0	32.0	772.0	0.0	123.0	113.0	378.0	0.0	192.0	461.0	397.0	156.0	489.0	35.0	0.0	16.0	0.0	99.0	429.0	96.0	510.0	128.0	110.0	1498.0	1097.0	74.0	570.0	371.0	289.0	268.0	405.0	357.0	438.0	51.0	780.0	491.0	0.0	69.0	185.0	961.0	115.0	0.0	1645.0	0.0	927.0	1989.0	260.0	372.0	35.0	460.0	442.0	15.0	49.0	479.0	2.0	90.0	507.0	570.0	926.0	192.0	16.0	90.0	421.0	777.0	625.0	0.0	43.0
6e542f1473c2dc7c0b1bf797dcfe01a9	2316.0	1883.0	3750.0	22.0	3467.0	458.0	5.0	530.0	1286.0	1231.0	2414.0	1759.0	1336.0	13.0	78.0	1967.0	1068.0	1538.0	2912.0	2234.0	1921.0	194.0	1068.0	2034.0	658.0	163.0	224.0	3916.0	5174.0	2395.0	769.0	340.0	4909.0	1.0	8089.0	0.0	4576.0	1923.0	269.0	1209.0	207.0	1580.0	2204.0	137.0	12.0	833.0	2617.0	234.0	51.0	1964.0	309.0	3235.0	8758.0	1580.0	158.0	491.0	0.0	813.0	1678.0	1199.0	3123.0	4977.0	16.0	3980.0	2557.0	291.0	923.0	3513.0	3649.0	2613.0	0.0	1605.0	1757.0	1813.0	42.0	418.0	4233.0	1908.0	1471.0	933.0	4442.0	1423.0	473.0	6834.0	1247.0	1611.0	20.0	659.0	799.0	3320.0	6654.0	339.0	279.0	1924.0	886.0	11523.0	1430.0	37.0	342.0	994.0	596.0	479.0	4752.0	2012.0	1450.0	1643.0	1223.0	558.0	2389.0	757.0	731.0	1483.0	506.0	327.0	1854.0	935.0	12.0	70.0	715.0	5.0	309.0	5438.0	2797.0	2881.0	215.0	842.0	3179.0	492.0	2444.0	1941.0	3962.0	626.0	69.0	1396.0	1078.0	326.0	200.0	52.0	267.0	3057.0	728.0	291.0	1109.0	456.0	187.0	769.0	698.0	692.0	929.0	679.0	2.0	307.0	447.0	3424.0	1206.0	6076.0	2888.0	2389.0	3413.0	659.0	539.0	4790.0	0.0	81.0	923.0	564.0	390.0	4813.0	2128.0	1434.0	1687.0	165.0	857.0	245.0	173.0	173.0	114.0	83.0	606.0	1299.0	705.0	438.0	1298.0	67.0	1627.0	118.0	726.0	0.0	11.0	268.0
3677d4ed296dfde0a693b2baa667094c	2228.0	0.0	0.0	0.0	102.0	0.0	0.0	40.0	355.0	0.0	0.0	2619.0	516.0	5195.0	749.0	0.0	348.0	0.0	0.0	0.0	0.0	103.0	296.0	360.0	0.0	1608.0	4349.0	1850.0	0.0	0.0	857.0	0.0	0.0	677.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	639.0	0.0	771.0	20.0	0.0	0.0	1603.0	639.0	3049.0	0.0	0.0	0.0	881.0	1385.0	77.0	0.0	156.0	0.0	0.0	2853.0	0.0	0.0	0.0	0.0	283.0	0.0	0.0	0.0	687.0	1234.0	1105.0	0.0	0.0	2498.0	1655.0	0.0	948.0	597.0	159.0	0.0	32.0	980.0	0.0	0.0	0.0	616.0	0.0	555.0	583.0	0.0	735.0	0.0	183.0	1635.0	0.0	0.0	0.0	0.0	357.0	38.0	0.0	0.0	0.0	2661.0	0.0	54.0	0.0	3968.0	57.0	331.0	278.0	0.0	0.0	0.0	36.0	0.0	0.0	1262.0	5.0	0.0	0.0	10525.0	0.0	550.0	0.0	0.0	0.0	941.0	852.0	0.0	0.0	1710.0	3121.0	0.0	0.0	0.0	0.0	424.0	0.0	0.0	713.0	0.0	1258.0	0.0	2996.0	3434.0	112.0	912.0	1782.0	2088.0	87.0	0.0	0.0	2391.0	1699.0	1000.0	0.0	0.0	0.0	4192.0	0.0	446.0	4749.0	0.0	0.0	0.0	0.0	0.0	60.0	1211.0	639.0	1435.0	506.0	2164.0	152.0	787.0	202.0	0.0	222.0	0.0	1410.0	0.0	0.0	3628.0	177.0	0.0	5155.0	0.0	120.0
87fe424047d1fe5f0d96137d013eb704	1913.0	3203.0	6480.0	3080.0	851.0	2629.0	2.0	1612.0	3003.0	1826.0	2289.0	487.0	1846.0	388.0	4217.0	1164.0	3104.0	3337.0	4369.0	243.0	1554.0	871.0	2069.0	6011.0	3665.0	630.0	2776.0	2150.0	1610.0	3610.0	3753.0	1970.0	1062.0	469.0	3094.0	2460.0	3449.0	1792.0	1352.0	13080.0	720.0	2026.0	182.0	1455.0	1765.0	2609.0	5845.0	3088.0	1384.0	5865.0	1726.0	3260.0	2127.0	674.0	1234.0	967.0	7.0	1642.0	1301.0	2076.0	2694.0	0.0	2514.0	1244.0	306.0	2203.0	155.0	348.0	2072.0	4815.0	2443.0	378.0	1785.0	1292.0	2409.0	2607.0	1909.0	5735.0	1913.0	553.0	6989.0	1135.0	3833.0	4958.0	2594.0	494.0	4398.0	1664.0	1565.0	2436.0	2670.0	1259.0	1375.0	4209.0	1383.0	658.0	2.0	7.0	0.0	2773.0	467.0	428.0	2572.0	4797.0	1065.0	1252.0	2911.0	2.0	2174.0	756.0	2685.0	673.0	2004.0	1805.0	3287.0	1357.0	577.0	7.0	997.0	8783.0	2.0	6695.0	1581.0	2804.0	742.0	9614.0	3024.0	1868.0	726.0	1696.0	12.0	3593.0	1383.0	2839.0	1200.0	384.0	529.0	0.0	931.0	3.0	2867.0	1123.0	1939.0	934.0	1775.0	1925.0	2386.0	184.0	335.0	242.0	599.0	538.0	9027.0	3028.0	4299.0	18343.0	3791.0	1677.0	3826.0	1259.0	1304.0	2608.0	1390.0	2196.0	301.0	187.0	1.0	8080.0	1101.0	1900.0	610.0	798.0	1373.0	812.0	948.0	2161.0	698.0	334.0	5309.0	1819.0	3665.0	2247.0	2065.0	1889.0	1176.0	2787.0	3485.0	1444.0	2343.0	560.0
