# Constructed from biom file
OTU ID	sample-126	sample-49	sample-96	sample-110	sample-81	sample-62	sample-115	sample-8	sample-50	sample-51	sample-23	sample-169	sample-131	sample-133	sample-128	sample-101	sample-125	sample-7	sample-59	sample-2	sample-120	sample-158	sample-78	sample-44	sample-41	sample-38	sample-12	sample-10	sample-76	sample-39	sample-18	sample-162	sample-40	sample-64	sample-21	sample-107	sample-69	sample-11	sample-129	sample-72	sample-48	sample-135	sample-155	sample-123	sample-55	sample-94	sample-127	sample-19	sample-77	sample-79	sample-118	sample-168	sample-71	sample-22	sample-137	sample-56	sample-145	sample-159	sample-70	sample-104	sample-6	sample-91	sample-82	sample-42	sample-106	sample-80	sample-93	sample-25	sample-141	sample-144	sample-167	sample-53	sample-4	sample-26	sample-151	sample-105	sample-150	sample-3	sample-67	sample-99	sample-100	sample-148	sample-24	sample-29	sample-136	sample-74	sample-68	sample-111	sample-142	sample-116	sample-149	sample-89	sample-37	sample-30	sample-86	sample-85	sample-161	sample-92	sample-97	sample-117	sample-66	sample-119	sample-143	sample-166	sample-52	sample-164	sample-88	sample-27	sample-13	sample-103	sample-163	sample-134	sample-109	sample-16	sample-5	sample-1	sample-9	sample-45	sample-140	sample-32	sample-47	sample-17	sample-83	sample-146	sample-160	sample-60	sample-65	sample-15	sample-84	sample-138	sample-102	sample-73	sample-157	sample-95	sample-153	sample-112	sample-46	sample-57	sample-124	sample-156	sample-139	sample-108	sample-20	sample-61	sample-122	sample-165	sample-31	sample-154	sample-132	sample-90	sample-121	sample-35	sample-63	sample-114	sample-54	sample-14	sample-98	sample-43	sample-36	sample-75	sample-34	sample-152	sample-58	sample-130	sample-33	sample-87	sample-147	sample-28	sample-113
351c1c41eb96b3ed2975bfe7f01eb9d7	1822.0	835.0	226.0	294.0	82.0	505.0	2661.0	754.0	1240.0	954.0	1619.0	0.0	1217.0	88.0	3941.0	288.0	864.0	331.0	3591.0	810.0	772.0	274.0	0.0	244.0	678.0	1436.0	431.0	8557.0	844.0	52.0	710.0	408.0	2616.0	198.0	1360.0	235.0	754.0	205.0	137.0	2351.0	67.0	285.0	2261.0	1871.0	331.0	310.0	947.0	16.0	1466.0	486.0	710.0	252.0	163.0	795.0	139.0	308.0	3087.0	242.0	14.0	0.0	462.0	987.0	110.0	851.0	471.0	27.0	1313.0	1133.0	30.0	739.0	1527.0	281.0	1067.0	542.0	846.0	128.0	2732.0	330.0	42.0	205.0	3.0	168.0	3359.0	539.0	50.0	1071.0	291.0	442.0	677.0	4100.0	3318.0	849.0	1669.0	830.0	1962.0	399.0	97.0	350.0	437.0	3048.0	84.0	1378.0	513.0	1139.0	979.0	1705.0	504.0	748.0	1393.0	1005.0	0.0	916.0	216.0	1051.0	721.0	1228.0	1729.0	443.0	283.0	272.0	157.0	478.0	2348.0	466.0	576.0	840.0	492.0	504.0	3064.0	617.0	972.0	299.0	574.0	1056.0	2104.0	577.0	408.0	436.0	480.0	737.0	64.0	220.0	621.0	817.0	91.0	341.0	246.0	1273.0	444.0	354.0	552.0	262.0	1932.0	3098.0	329.0	301.0	284.0	1769.0	266.0	103.0	1833.0	2140.0	2005.0	378.0	968.0	2404.0	4416.0	1063.0	96.0
4bf3198c78397be5af0b7325d20558de	1348.0	3867.0	475.0	74.0	306.0	1960.0	1173.0	1216.0	3967.0	1873.0	1812.0	1315.0	1558.0	228.0	6231.0	1244.0	615.0	1110.0	3714.0	2330.0	1808.0	3155.0	2843.0	842.0	649.0	635.0	163.0	677.0	2344.0	465.0	2096.0	304.0	901.0	2529.0	4038.0	306.0	2841.0	3104.0	109.0	686.0	2298.0	537.0	2210.0	3017.0	634.0	386.0	1469.0	69.0	1574.0	2357.0	313.0	771.0	342.0	2726.0	1195.0	1546.0	5660.0	282.0	521.0	468.0	808.0	1134.0	116.0	2845.0	659.0	19.0	1528.0	3158.0	852.0	844.0	1688.0	3526.0	3115.0	1348.0	890.0	42.0	2623.0	1928.0	1207.0	1118.0	8.0	911.0	7369.0	2117.0	30.0	9838.0	1867.0	1688.0	738.0	2350.0	4319.0	3218.0	5293.0	2371.0	4464.0	2141.0	60.0	962.0	746.0	823.0	2586.0	1066.0	830.0	1371.0	1035.0	531.0	1673.0	1643.0	147.0	3641.0	1591.0	828.0	1811.0	557.0	1671.0	154.0	1315.0	3104.0	436.0	741.0	346.0	2012.0	478.0	388.0	192.0	1639.0	399.0	175.0	473.0	2247.0	1296.0	823.0	1030.0	802.0	1104.0	723.0	2734.0	3919.0	3126.0	610.0	369.0	52.0	1869.0	677.0	1748.0	969.0	2299.0	4025.0	1419.0	742.0	708.0	948.0	783.0	2220.0	3294.0	264.0	1963.0	982.0	2141.0	402.0	2036.0	1411.0	2213.0	238.0	2596.0	2097.0	1070.0	1858.0	1560.0
7e9cdac38f4fda66b32ff24975677f00	380.0	16.0	0.0	0.0	97.0	253.0	0.0	163.0	30.0	139.0	433.0	3.0	0.0	103.0	0.0	0.0	0.0	599.0	0.0	0.0	0.0	192.0	0.0	9.0	4.0	0.0	18.0	0.0	0.0	37.0	0.0	210.0	0.0	0.0	52.0	0.0	0.0	0.0	8.0	20.0	0.0	847.0	0.0	11.0	461.0	1917.0	81.0	2616.0	0.0	375.0	307.0	154.0	99.0	138.0	0.0	121.0	0.0	117.0	0.0	29.0	675.0	0.0	54.0	2.0	0.0	555.0	0.0	30.0	0.0	579.0	518.0	0.0	102.0	319.0	7.0	386.0	0.0	0.0	0.0	15.0	5.0	549.0	5.0	5.0	0.0	1128.0	0.0	0.0	2120.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	56.0	0.0	0.0	0.0	0.0	356.0	101.0	0.0	45.0	0.0	612.0	0.0	0.0	5.0	142.0	0.0	0.0	12.0	9.0	102.0	0.0	0.0	33.0	806.0	0.0	0.0	0.0	0.0	1547.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	262.0	0.0	7.0	0.0	0.0	0.0	963.0	276.0	100.0	0.0	104.0	20.0	0.0	2.0	50.0	0.0	0.0	68.0	569.0	0.0	2.0	2.0	0.0	50.0	241.0	27.0	130.0	0.0	0.0	127.0	0.0	0.0	23.0	15.0
0fed1d1744ec3a03cf7db18a94d7643c	328.0	27.0	114.0	4.0	3.0	157.0	0.0	26.0	45.0	133.0	13.0	13.0	9.0	0.0	11.0	15.0	12.0	16.0	0.0	34.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	59.0	0.0	0.0	7.0	40.0	0.0	0.0	11.0	3.0	4.0	0.0	0.0	15.0	0.0	2.0	24.0	0.0	14.0	0.0	31.0	0.0	61.0	30.0	3.0	11.0	3.0	22.0	3.0	4.0	102.0	15.0	4.0	2.0	40.0	30.0	0.0	7.0	1.0	8.0	43.0	13.0	0.0	0.0	0.0	0.0	4.0	0.0	17.0	2.0	3.0	15.0	20.0	6.0	2.0	14.0	236.0	81.0	11.0	0.0	10.0	74.0	16.0	42.0	72.0	0.0	0.0	111.0	13.0	0.0	9.0	28.0	6.0	0.0	4.0	0.0	62.0	0.0	0.0	0.0	22.0	0.0	0.0	84.0	35.0	2.0	0.0	5.0	76.0	7.0	9.0	8.0	0.0	9.0	55.0	20.0	0.0	34.0	10.0	0.0	2.0	2.0	0.0	0.0	24.0	0.0	13.0	37.0	5.0	19.0	18.0	4.0	8.0	2.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	11.0	8.0	0.0	2.0	27.0	32.0	4.0	72.0	0.0	42.0	0.0	0.0	0.0	13.0	26.0	0.0	0.0	10.0	0.0	76.0	213.0	0.0
2010f846ebd53e704759478273bce44a	325.0	0.0	46.0	0.0	2.0	414.0	0.0	592.0	0.0	0.0	0.0	37.0	0.0	225.0	0.0	284.0	193.0	239.0	585.0	365.0	0.0	13.0	79.0	2.0	25.0	0.0	0.0	0.0	334.0	160.0	3.0	51.0	0.0	0.0	1950.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	93.0	6.0	839.0	27.0	0.0	96.0	61.0	25.0	19.0	120.0	0.0	121.0	0.0	0.0	445.0	11.0	81.0	174.0	0.0	221.0	0.0	5.0	2089.0	4.0	0.0	28.0	0.0	4.0	1503.0	102.0	27.0	0.0	0.0	871.0	501.0	148.0	35.0	212.0	237.0	0.0	0.0	29.0	0.0	365.0	0.0	0.0	0.0	0.0	0.0	21.0	7.0	9.0	1023.0	32.0	0.0	2.0	24.0	0.0	111.0	0.0	41.0	11.0	218.0	208.0	0.0	150.0	51.0	0.0	0.0	0.0	36.0	344.0	343.0	352.0	913.0	9.0	270.0	33.0	0.0	2.0	2.0	0.0	6.0	50.0	2.0	0.0	1362.0	115.0	9.0	224.0	35.0	651.0	167.0	0.0	69.0	0.0	0.0	0.0	285.0	90.0	0.0	0.0	0.0	7.0	0.0	393.0	391.0	5.0	0.0	0.0	0.0	0.0	258.0	0.0	7.0	0.0	0.0	1435.0	226.0	0.0	0.0	0.0	0.0	6.0	19.0
0152c7b6c862b5ce0d4420eeb2813b20	303.0	2.0	14.0	216.0	857.0	297.0	19.0	0.0	0.0	13.0	85.0	29.0	28.0	2.0	0.0	383.0	45.0	0.0	0.0	10.0	28.0	0.0	0.0	2.0	0.0	3.0	59.0	0.0	20.0	0.0	48.0	53.0	0.0	52.0	0.0	31.0	38.0	156.0	49.0	0.0	16.0	886.0	3.0	0.0	4.0	44.0	0.0	580.0	562.0	358.0	12.0	83.0	385.0	49.0	45.0	0.0	1961.0	0.0	78.0	43.0	0.0	2.0	1905.0	0.0	65.0	2774.0	0.0	85.0	351.0	0.0	0.0	55.0	0.0	0.0	4.0	6.0	0.0	4.0	103.0	0.0	6.0	235.0	0.0	21.0	16.0	310.0	23.0	197.0	28.0	0.0	1978.0	10.0	185.0	56.0	7.0	6.0	4.0	80.0	8.0	17.0	200.0	9.0	2.0	24.0	18.0	19.0	0.0	14.0	41.0	324.0	24.0	1.0	1074.0	4.0	218.0	582.0	2.0	5.0	0.0	67.0	0.0	0.0	5.0	19.0	45.0	1.0	11.0	22.0	0.0	80.0	2.0	3.0	0.0	19.0	4.0	0.0	2.0	16.0	0.0	12.0	0.0	0.0	39.0	29.0	12.0	260.0	19.0	0.0	870.0	0.0	10.0	90.0	36.0	5.0	11.0	144.0	216.0	0.0	0.0	162.0	0.0	0.0	0.0	582.0	0.0	0.0	0.0	0.0	1206.0
2d34c22edce4b1f2d8a5228ad78f8ea8	221.0	88.0	21.0	4.0	0.0	20.0	23.0	9.0	62.0	5.0	27.0	5.0	29.0	24.0	150.0	148.0	18.0	0.0	55.0	9.0	47.0	21.0	41.0	11.0	10.0	31.0	29.0	2.0	49.0	4.0	2.0	10.0	17.0	24.0	29.0	320.0	32.0	18.0	61.0	3.0	60.0	18.0	0.0	54.0	3.0	0.0	7.0	0.0	3.0	2.0	29.0	46.0	5.0	42.0	11.0	5.0	0.0	284.0	17.0	2.0	5.0	47.0	28.0	70.0	252.0	43.0	30.0	21.0	77.0	53.0	80.0	16.0	32.0	27.0	0.0	486.0	26.0	14.0	3.0	3.0	3.0	85.0	17.0	5.0	13.0	13.0	23.0	50.0	53.0	16.0	0.0	18.0	11.0	32.0	0.0	3.0	3.0	54.0	186.0	12.0	4.0	80.0	27.0	132.0	8.0	2.0	5.0	21.0	14.0	143.0	0.0	0.0	37.0	83.0	13.0	11.0	0.0	3.0	19.0	35.0	0.0	25.0	30.0	0.0	330.0	12.0	0.0	37.0	28.0	220.0	32.0	19.0	0.0	23.0	6.0	18.0	4.0	77.0	5.0	0.0	2.0	295.0	10.0	36.0	53.0	163.0	103.0	10.0	558.0	119.0	0.0	9.0	20.0	42.0	30.0	91.0	109.0	24.0	8.0	21.0	9.0	0.0	5.0	24.0	6.0	16.0	8.0	43.0	17.0
6d9e24f5a625101a195ec965b1af11a5	220.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	33.0	0.0	3.0	0.0	54.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	424.0	1141.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	18.0	0.0	6.0	0.0	5.0	16.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	55.0	31.0	0.0	3.0	971.0	1.0	0.0	0.0	0.0	64.0	15.0	0.0	0.0	0.0	722.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	32.0	0.0	113.0	0.0	0.0	12.0	7.0	6.0	107.0	102.0	0.0	50.0	2.0	0.0	464.0	2.0	0.0	0.0	0.0	0.0	7.0	0.0	19.0	0.0	10.0	0.0	1.0	0.0	0.0	0.0	0.0	26.0	6.0	0.0	461.0	11.0	39.0	0.0	0.0	0.0	11.0	35.0	0.0	0.0	0.0	3.0	0.0	22.0	0.0	0.0	10.0	0.0	0.0	2.0	0.0	14.0	32.0	7.0	0.0	0.0	8.0	48.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38f051d44f8ce744cce08e9d6271ea7f	199.0	137.0	11.0	204.0	3.0	30.0	121.0	16.0	302.0	23.0	113.0	11.0	17.0	0.0	340.0	37.0	15.0	4.0	120.0	44.0	42.0	0.0	158.0	8.0	13.0	64.0	32.0	20.0	38.0	4.0	81.0	8.0	108.0	5.0	20.0	36.0	161.0	18.0	4.0	14.0	74.0	1.0	64.0	112.0	16.0	14.0	7.0	2.0	159.0	4.0	35.0	37.0	0.0	29.0	32.0	17.0	397.0	72.0	0.0	0.0	35.0	41.0	2.0	3.0	62.0	0.0	99.0	71.0	4.0	2.0	12.0	110.0	9.0	30.0	13.0	35.0	156.0	14.0	1.0	19.0	0.0	28.0	76.0	17.0	3.0	0.0	229.0	7.0	0.0	31.0	277.0	581.0	33.0	215.0	147.0	47.0	8.0	48.0	0.0	116.0	165.0	44.0	19.0	29.0	84.0	24.0	27.0	37.0	87.0	0.0	16.0	192.0	26.0	16.0	0.0	29.0	208.0	12.0	286.0	87.0	8.0	0.0	39.0	37.0	75.0	11.0	0.0	41.0	64.0	15.0	38.0	59.0	22.0	31.0	21.0	37.0	15.0	81.0	0.0	38.0	30.0	18.0	40.0	16.0	91.0	55.0	139.0	41.0	9.0	115.0	27.0	0.0	43.0	154.0	118.0	18.0	33.0	163.0	86.0	22.0	23.0	233.0	13.0	89.0	54.0	241.0	28.0	148.0	890.0
c37c32c3f767506513252eb67bd31e55	196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3014.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	401.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.0	0.0	0.0	15.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3784.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
