# Constructed from biom file
OTU ID	sample-129	sample-90	sample-42	sample-62	sample-21	sample-110	sample-112	sample-133	sample-11	sample-45	sample-17	sample-136	sample-124	sample-82	sample-103	sample-111	sample-35	sample-13	sample-50	sample-119	sample-115	sample-150	sample-51	sample-59	sample-125	sample-6	sample-64	sample-120	sample-38	sample-81	sample-128	sample-99	sample-105	sample-14	sample-93	sample-9	sample-87	sample-94	sample-121	sample-135	sample-30	sample-16	sample-60	sample-141	sample-73	sample-70	sample-109	sample-137	sample-118	sample-106	sample-40	sample-53	sample-24	sample-7	sample-138	sample-144	sample-96	sample-146	sample-41	sample-83	sample-77	sample-61	sample-72	sample-92	sample-68	sample-33	sample-113	sample-19	sample-5	sample-32	sample-123	sample-104	sample-134	sample-12	sample-10	sample-36	sample-56	sample-29	sample-43	sample-126	sample-26	sample-127	sample-98	sample-122	sample-44	sample-142	sample-140	sample-107	sample-147	sample-37	sample-15	sample-86	sample-67	sample-116	sample-27	sample-74	sample-76	sample-71	sample-145	sample-20	sample-130	sample-108	sample-22	sample-57	sample-1	sample-25	sample-84	sample-2	sample-63	sample-28	sample-69	sample-48	sample-65	sample-34	sample-8	sample-78	sample-31	sample-149	sample-132	sample-4	sample-97	sample-139	sample-3	sample-75	sample-47	sample-80	sample-102	sample-39	sample-18	sample-66	sample-46	sample-100	sample-55	sample-95	sample-23	sample-58	sample-89	sample-131	sample-117	sample-54	sample-88	sample-49	sample-85	sample-114	sample-91	sample-101	sample-79	sample-52	sample-143	sample-148
e0f1023ce12be322b7551ac08409da3d	889.0	137.0	10.0	11.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	226.0	0.0	0.0	116.0	23.0	0.0	2.0	13.0	262.0	7.0	0.0	15.0	110.0	3.0	6.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	43.0	0.0	0.0	1.0	0.0	90.0	0.0	712.0	0.0	989.0	0.0	71.0	0.0	87.0	0.0	17.0	0.0	111.0	94.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	14.0	32.0	4.0	0.0	19.0	0.0	0.0	0.0	3.0	0.0	0.0	23.0	0.0	0.0	10.0	0.0	0.0	0.0	162.0	0.0	0.0	0.0	0.0	20.0	50.0	3.0	0.0	0.0	0.0	17.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	8.0	0.0	0.0	5.0	6.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	38.0	0.0	0.0	50.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	2.0	17.0	16.0	0.0	0.0	0.0	0.0	15.0	50.0
6f8fe4c21de2d8e69fa972b0e551a17d	680.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e8cc2bd7f939d8c0e67bce458ca95d26	554.0	714.0	147.0	23.0	78.0	57.0	29.0	84.0	44.0	4.0	129.0	19.0	696.0	0.0	121.0	29.0	85.0	870.0	27.0	136.0	514.0	3.0	223.0	5.0	107.0	30.0	97.0	44.0	287.0	105.0	76.0	0.0	0.0	7.0	2198.0	42.0	91.0	322.0	44.0	31.0	2.0	4.0	989.0	137.0	1166.0	52.0	1048.0	0.0	1078.0	0.0	203.0	2.0	156.0	100.0	237.0	394.0	534.0	193.0	233.0	160.0	377.0	12.0	2.0	45.0	35.0	134.0	119.0	0.0	233.0	152.0	187.0	0.0	178.0	870.0	15.0	85.0	5.0	0.0	147.0	0.0	0.0	76.0	971.0	310.0	57.0	40.0	0.0	328.0	59.0	23.0	0.0	8.0	0.0	0.0	38.0	14.0	153.0	0.0	48.0	75.0	386.0	328.0	3.0	5.0	44.0	0.0	160.0	40.0	716.0	38.0	0.0	244.0	1023.0	7.0	42.0	346.0	39.0	20.0	1549.0	409.0	0.0	0.0	422.0	153.0	0.0	22.0	71.0	287.0	153.0	7.0	391.0	625.0	0.0	89.0	3.0	4.0	0.0	678.0	121.0	2.0	54.0	27.0	23.0	90.0	6.0	201.0	346.0	0.0	180.0	59.0
9fc731e9e3943240a474227137d659ed	481.0	0.0	0.0	0.0	34.0	0.0	4.0	0.0	3.0	0.0	232.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	11.0	1.0	0.0	0.0	47.0	0.0	111.0	1.0	4.0	0.0	0.0	0.0	0.0	15.0	0.0	47.0	0.0	0.0	1.0	0.0	151.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	5.0	0.0	78.0	0.0	75.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	3.0	0.0	12.0	0.0	39.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	12.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	299.0	14.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	201.0	0.0	0.0	0.0	0.0	0.0	34.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40bb555405546dc5abdd4977b91a607c	412.0	357.0	27.0	45.0	14.0	0.0	95.0	12.0	27.0	10.0	0.0	6.0	135.0	15.0	79.0	95.0	96.0	191.0	0.0	45.0	45.0	0.0	134.0	10.0	334.0	117.0	7.0	0.0	0.0	0.0	52.0	2.0	188.0	5.0	0.0	10.0	8.0	2.0	0.0	52.0	0.0	9.0	223.0	30.0	25.0	0.0	92.0	0.0	0.0	188.0	0.0	30.0	10.0	0.0	71.0	150.0	78.0	54.0	3.0	245.0	12.0	60.0	59.0	304.0	43.0	37.0	9.0	27.0	26.0	56.0	16.0	163.0	116.0	191.0	3.0	96.0	8.0	19.0	27.0	0.0	38.0	52.0	356.0	31.0	0.0	3.0	2.0	5.0	18.0	124.0	0.0	42.0	78.0	91.0	14.0	15.0	58.0	12.0	55.0	6.0	0.0	5.0	8.0	8.0	100.0	57.0	245.0	4.0	0.0	14.0	0.0	362.0	0.0	2.0	10.0	0.0	100.0	2.0	45.0	6.0	3.0	2.0	4.0	58.0	63.0	0.0	218.0	0.0	36.0	48.0	69.0	0.0	0.0	24.0	8.0	24.0	3.0	0.0	24.0	30.0	0.0	0.0	0.0	0.0	112.0	5.0	0.0	37.0	60.0	18.0
91fd15dd69b4d70c9f86d20fdaeae354	334.0	121.0	139.0	101.0	505.0	298.0	75.0	89.0	232.0	0.0	100.0	43.0	943.0	52.0	99.0	75.0	48.0	100.0	0.0	6.0	71.0	2.0	65.0	41.0	416.0	10.0	768.0	46.0	117.0	267.0	126.0	4.0	112.0	19.0	84.0	5.0	1.0	939.0	46.0	0.0	23.0	88.0	24.0	312.0	192.0	6.0	193.0	120.0	218.0	112.0	269.0	141.0	28.0	204.0	61.0	133.0	1004.0	2.0	1.0	11.0	95.0	5.0	332.0	32.0	54.0	70.0	357.0	32.0	100.0	60.0	0.0	0.0	351.0	100.0	7.0	48.0	0.0	117.0	139.0	113.0	249.0	126.0	178.0	215.0	0.0	38.0	0.0	545.0	351.0	46.0	269.0	70.0	10.0	204.0	10.0	10.0	63.0	2.0	184.0	297.0	179.0	545.0	44.0	0.0	38.0	666.0	11.0	6.0	481.0	10.0	0.0	0.0	539.0	71.0	5.0	751.0	541.0	13.0	276.0	11.0	0.0	0.0	16.0	63.0	12.0	4.0	382.0	117.0	24.0	2.0	56.0	306.0	110.0	103.0	44.0	102.0	0.0	906.0	263.0	141.0	181.0	0.0	16.0	7.0	2.0	103.0	751.0	18.0	42.0	351.0
84a173163d266d251d2f4c1fd169030d	293.0	58.0	210.0	734.0	182.0	70.0	280.0	172.0	260.0	12.0	211.0	287.0	11.0	119.0	108.0	280.0	193.0	152.0	215.0	240.0	517.0	662.0	719.0	176.0	125.0	649.0	3.0	155.0	289.0	140.0	175.0	265.0	595.0	129.0	187.0	43.0	389.0	10.0	155.0	220.0	205.0	105.0	376.0	169.0	589.0	227.0	40.0	9.0	184.0	595.0	141.0	80.0	17.0	129.0	251.0	105.0	334.0	457.0	531.0	339.0	152.0	387.0	751.0	166.0	369.0	22.0	29.0	455.0	171.0	113.0	203.0	333.0	149.0	152.0	63.0	193.0	675.0	122.0	210.0	215.0	95.0	175.0	55.0	453.0	6.0	307.0	360.0	172.0	252.0	301.0	83.0	63.0	0.0	511.0	120.0	95.0	383.0	239.0	45.0	100.0	116.0	172.0	138.0	675.0	68.0	265.0	339.0	107.0	819.0	120.0	481.0	82.0	203.0	90.0	43.0	0.0	162.0	233.0	162.0	112.0	96.0	360.0	252.0	383.0	50.0	268.0	171.0	289.0	101.0	177.0	83.0	133.0	92.0	140.0	138.0	1349.0	282.0	401.0	246.0	80.0	1.0	215.0	445.0	49.0	480.0	94.0	0.0	149.0	325.0	252.0
5c64663cf862dd9d0be499047413c54c	263.0	4.0	4.0	39.0	161.0	138.0	9.0	0.0	0.0	40.0	25.0	84.0	0.0	72.0	37.0	9.0	45.0	0.0	0.0	0.0	59.0	0.0	13.0	4.0	148.0	45.0	10.0	45.0	116.0	44.0	15.0	9.0	61.0	22.0	100.0	2.0	17.0	51.0	45.0	0.0	60.0	0.0	0.0	86.0	63.0	0.0	76.0	105.0	0.0	61.0	0.0	3.0	7.0	14.0	246.0	2.0	11.0	11.0	245.0	0.0	13.0	2.0	250.0	0.0	0.0	8.0	63.0	6.0	125.0	62.0	11.0	0.0	0.0	0.0	37.0	45.0	3.0	0.0	4.0	0.0	2.0	15.0	2.0	83.0	9.0	8.0	0.0	162.0	20.0	0.0	30.0	0.0	63.0	109.0	29.0	2.0	29.0	0.0	581.0	33.0	182.0	162.0	30.0	3.0	0.0	28.0	0.0	0.0	0.0	29.0	0.0	0.0	22.0	3.0	2.0	0.0	13.0	20.0	15.0	6.0	25.0	0.0	15.0	29.0	3.0	0.0	0.0	116.0	0.0	12.0	0.0	0.0	112.0	0.0	30.0	100.0	0.0	8.0	30.0	3.0	108.0	0.0	62.0	0.0	0.0	0.0	0.0	2.0	10.0	20.0
e428e9db42233625e37b6e38eed70e19	179.0	330.0	70.0	18.0	40.0	11.0	22.0	113.0	33.0	6.0	70.0	105.0	41.0	39.0	47.0	22.0	9.0	116.0	0.0	8.0	27.0	35.0	17.0	45.0	29.0	53.0	0.0	29.0	173.0	250.0	35.0	72.0	27.0	44.0	21.0	57.0	102.0	19.0	29.0	0.0	17.0	56.0	77.0	16.0	45.0	1.0	302.0	0.0	2.0	27.0	110.0	8.0	5.0	69.0	192.0	179.0	786.0	13.0	215.0	442.0	166.0	70.0	62.0	171.0	16.0	291.0	25.0	33.0	20.0	14.0	202.0	699.0	36.0	116.0	3.0	9.0	0.0	0.0	70.0	95.0	50.0	35.0	328.0	46.0	30.0	2.0	0.0	17.0	124.0	5.0	201.0	1120.0	3.0	203.0	0.0	46.0	151.0	0.0	7.0	0.0	487.0	17.0	38.0	0.0	9.0	32.0	442.0	6.0	48.0	0.0	112.0	320.0	173.0	27.0	57.0	0.0	26.0	3.0	165.0	68.0	0.0	0.0	81.0	151.0	0.0	42.0	0.0	173.0	28.0	106.0	3.0	298.0	6.0	111.0	38.0	9.0	32.0	0.0	116.0	8.0	0.0	0.0	23.0	0.0	28.0	75.0	0.0	66.0	57.0	124.0
bb1e0818cbf8169ff182acd2045c4e7f	176.0	0.0	11.0	0.0	7.0	0.0	0.0	12.0	3.0	14.0	17.0	0.0	0.0	0.0	49.0	0.0	14.0	157.0	0.0	3.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	13.0	0.0	83.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	15.0	0.0	68.0	103.0	2.0	0.0	85.0	28.0	0.0	0.0	0.0	4.0	4.0	0.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	14.0	0.0	0.0	11.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	28.0	3.0	0.0	0.0	0.0	0.0	26.0	0.0	3.0	0.0	5.0	0.0	22.0	4.0	0.0	0.0	4.0	80.0	0.0	0.0	14.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	39.0	0.0	9.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
