# Constructed from biom file																																																																																																																																																																																																																																																						
OTU ID	sample-126	sample-79	sample-247	sample-58	sample-110	sample-193	sample-229	sample-115	sample-36	sample-169	sample-131	sample-208	sample-133	sample-128	sample-101	sample-125	sample-31	sample-4	sample-42	sample-201	sample-85	sample-83	sample-47	sample-39	sample-120	sample-61	sample-74	sample-93	sample-65	sample-188	sample-158	sample-45	sample-197	sample-215	sample-224	sample-198	sample-76	sample-204	sample-241	sample-12	sample-2	sample-171	sample-177	sample-10	sample-210	sample-82	sample-250	sample-49	sample-162	sample-23	sample-234	sample-107	sample-223	sample-225	sample-62	sample-63	sample-22	sample-11	sample-129	sample-73	sample-248	sample-135	sample-232	sample-187	sample-98	sample-43	sample-212	sample-155	sample-190	sample-174	sample-186	sample-230	sample-123	sample-173	sample-127	sample-9	sample-180	sample-118	sample-168	sample-88	sample-242	sample-95	sample-235	sample-29	sample-137	sample-145	sample-159	sample-78	sample-26	sample-104	sample-211	sample-94	sample-20	sample-106	sample-144	sample-167	sample-183	sample-25	sample-91	sample-151	sample-68	sample-99	sample-19	sample-70	sample-17	sample-246	sample-105	sample-150	sample-72	sample-205	sample-1	sample-175	sample-100	sample-34	sample-218	sample-86	sample-53	sample-52	sample-214	sample-213	sample-136	sample-92	sample-196	sample-111	sample-142	sample-46	sample-87	sample-116	sample-176	sample-33	sample-249	sample-209	sample-172	sample-149	sample-181	sample-60	sample-161	sample-54	sample-222	sample-117	sample-244	sample-89	sample-203	sample-191	sample-24	sample-84	sample-119	sample-219	sample-143	sample-28	sample-166	sample-216	sample-164	sample-13	sample-103	sample-3	sample-40	sample-184	sample-48	sample-233	sample-220	sample-163	sample-134	sample-109	sample-16	sample-77	sample-226	sample-237	sample-8	sample-6	sample-238	sample-140	sample-178	sample-44	sample-217	sample-67	sample-146	sample-81	sample-160	sample-239	sample-15	sample-138	sample-102	sample-97	sample-157	sample-236	sample-153	sample-51	sample-207	sample-18	sample-112	sample-240	sample-228	sample-245	sample-124	sample-156	sample-170	sample-71	sample-202	sample-139	sample-108	sample-189	sample-192	sample-90	sample-64	sample-55	sample-122	sample-165	sample-35	sample-154	sample-5	sample-132	sample-121	sample-200	sample-185	sample-114	sample-32	sample-14	sample-41	sample-7	sample-21	sample-38	sample-96	sample-231	sample-227	sample-206	sample-152	sample-37	sample-57	sample-130	sample-56	sample-30	sample-243	sample-80	sample-69	sample-59	sample-147	sample-195	sample-194	sample-75	sample-113	sample-27	sample-50	sample-179	sample-182	sample-66
b53495079da29c222df0830226ce7a20	300	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	10	0	0	0	0	47	177	46	0	0	0	100	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	72	0	122	0	0	82	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	284	0	105	0	0	0	0	163	0	0	0	0	0	0	0	6	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	32	0	130	0	0	139	0	0	0	0	6	0	0	0	0	0	0	0	0	87	0	0	0	0	0	390	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	233	0	0	139	0	211	128	463	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	256	0	0	55	0	0	0
8344b4816515200c45d434d3ee7fe645	299	157	0	6781	496	0	0	6836	4071	0	7178	0	10616	10713	2140	497	60	4	3	0	37	1756	1358	450	52	10703	518	912	2	0	0	1242	0	0	0	0	7749	0	0	17	1544	0	0	14291	0	2409	0	82	0	10881	0	1748	0	0	16422	1337	176	5590	7824	4311	0	1191	0	0	6305	16406	0	0	0	13	0	0	1364	0	9398	6	0	272	0	5799	0	0	0	58	5227	0	0	7210	5980	3951	0	0	5492	0	5269	0	0	265	557	0	329	2639	0	437	1600	0	9879	0	2960	0	119	0	6342	573	0	3277	2239	0	0	0	2678	1390	0	5858	544	1670	2041	6977	0	91	0	0	0	0	0	4385	0	20	0	2284	0	0	0	0	4077	314	504	0	677	10231	0	0	0	2920	1416	438	7312	0	893	0	0	0	20	2000	677	17	0	0	4089	2096	0	2514	0	24	0	3520	0	823	0	0	4542	1906	133	3606	0	0	0	327	0	5400	12075	0	0	0	606	0	0	0	0	5	1203	0	0	3740	0	3766	1889	0	2843	0	179	19514	3710	0	3	6403	5060	304	1	23	220	91	147	0	0	0	0	4111	7166	27	13801	27	0	167	4111	8112	0	0	0	459	7991	8107	4444	0	0	36
c0f12c589f5fa84a2110c92b5551f6f0	265	20	0	620	42	0	0	963	706	0	98	0	58	1613	13	0	359	0	0	0	112	900	0	0	23	46	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	27	0	0	0	0	0	174	0	0	66	135	774	57	7	33	0	82	0	0	986	244	0	0	0	0	0	0	172	0	144	17	0	97	0	399	0	0	0	103	94	0	0	158	59	0	0	0	46	0	17	0	0	102	185	0	0	105	0	290	120	0	32	0	256	0	1087	0	29	19	0	0	769	55	0	0	110	0	0	0	0	116	48	376	0	162	0	0	0	0	0	65	0	2	0	28	0	0	0	0	69	0	0	0	14	320	0	0	0	186	148	0	74	0	154	0	0	0	0	27	59	3713	0	0	531	10	0	34	0	32	0	174	0	27	0	0	191	83	0	155	0	0	0	0	0	313	186	0	0	0	19	0	0	379	0	0	21	0	0	93	232	26	143	0	60	0	270	45	256	0	0	264	448	192	0	385	0	67	0	0	0	0	0	64	49	2	311	504	0	0	3	2	0	0	0	467	99	55	23	0	0	261
eb82d3f10bb71a45e21c6bb8e5cad7cc	256	35	43000	2	5	796	81791	0	165	33	34	18200	396	15	0	38	6	19	0	489	21	1	61	12	15	7	13	26	10	87458	3123	20	20	4392	36709	36	0	18	21	39	46	23854	45416	505	36	0	3	179	13410	342	6821	213	75623	2	1	241	39	224	16	13	12770	16	5	186	117	0	17	307	14	97458	29737	12503	0	10	37	12	0	29	0	95	54431	199	21985	1610	0	63	64317	0	1	43	43844	1	8	1	140	3951	2743	0	0	108	92	0	21	83	148	11112	44	30488	0	91	0	85	77	29	25632	281	129	0	23	23058	6	15	26127	22	5	0	7	8	52177	3	108	712	20722	52	5717	64	30	109	37	13	5415	13	8740	3724	0	434	6	65101	4	219	98570	41	56487	22	51	47	35	1218	0	95187	8261	19	0	7	0	290	8823	42603	26	0	2	121	238	73	759	66	142	16	93	67694	0	41	109	0	104	6	3687	72	36	55	0	41	0	36647	9	12	38620	0	1798	3	90	1726	98	0	8	37	21	4834	92	6960	42	196	122	5	59	169	2	69	11	0	13	80	5	3764	596	7651	0	98	0	7	0	65	67379	12	55	6	6231	43	165	73	9	0	0	11950	218	97
93792b0e02860a8ff072dd0fa2a82242	245	86	0	327	110	0	0	291	0	0	0	3	231	489	0	15	0	102	0	0	34	720	75	0	89	458	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931	0	453	0	0	0	3501	0	108	0	0	411	0	0	101	600	180	0	0	0	0	1116	0	0	0	0	0	0	0	151	0	272	38	0	73	0	0	0	85	0	128	46	0	0	1006	145	0	0	0	1303	0	96	0	0	307	239	0	361	2140	0	29	63	0	1010	0	267	0	473	2	591	0	0	199	863	0	0	0	65	0	0	0	0	618	147	0	0	55	0	0	0	0	0	61	0	0	0	144	0	31	0	0	77	0	0	0	81	0	0	0	0	48	154	0	330	0	90	0	0	0	0	539	127	0	0	0	1692	2235	0	208	2	116	0	477	0	94	0	0	169	111	0	82	0	0	0	0	0	445	241	0	0	0	20	0	0	0	0	0	0	0	0	874	0	30	157	0	349	0	64	560	40	0	0	383	372	472	46	753	2	39	8	0	0	0	0	48	297	0	979	0	0	0	0	0	0	0	0	870	191	130	233	0	0	689
b4522fd8fd73185efa97ac64b2cc7e25	230	297	0	92	36	0	0	69	375	0	55	0	46	69	22	2	125	0	2	0	159	295	127	121	19	381	6	71	20	0	0	9	0	0	0	3	50	0	0	3704	77	0	0	0	0	44	0	287	0	70	0	173	0	0	19	418	324	85	38	50	0	103	0	0	50	0	0	0	0	0	0	0	475	0	70	60	2	64	0	138	0	61	0	3	63	0	0	66	188	196	0	184	5	0	65	0	0	203	199	0	86	198	39	407	110	0	48	0	189	0	456	0	2	25	0	1	1156	4	0	0	22	222	0	49	180	136	148	672	2	36	0	2	0	0	0	75	0	285	0	138	0	402	0	0	28	81	0	0	47	595	0	0	0	189	150	259	135	0	196	0	0	0	16	55	176	10	0	0	242	6	0	2	0	388	0	180	0	49	0	0	291	104	45	237	3	0	0	178	0	169	134	0	0	0	31	0	0	61	0	41	17	0	0	196	53	55	188	0	85	0	237	5	152	0	0	126	617	159	151	433	681	206	10	0	0	0	0	50	175	14	102	103	0	152	32	311	0	0	0	449	296	112	39	0	0	1313
ff2f1bf9f33cd97a37e70a71d3ea18e4	218	0	0	0	0	0	0	0	0	0	33	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	691	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0
377d8cafd9f8c511cfbaf93c1b0ff726	204	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	0	4	0	9	33	58	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	33	0	0	0	42	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	45	0	136	0	0	0	0	0	0	0	0	2	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	0
d5c640a3bf0085858f6f9e1c640a17b6	202	1515	0	407	89	0	0	320	650	0	331	0	381	18	65	16	504	426	22	0	679	1130	125	143	40	852	327	386	25	2	0	53	0	0	0	0	94	0	0	1721	281	0	0	29	0	215	0	1060	0	568	0	84	0	0	73	240	771	294	596	4	0	227	0	0	646	11	0	0	0	0	0	0	915	0	240	52	0	797	0	1197	0	290	0	14	523	0	0	955	285	1589	0	1711	65	0	94	0	2	313	814	0	2001	486	75	539	344	0	365	0	534	0	635	0	46	99	0	459	1413	413	0	0	253	140	0	165	187	494	186	278	0	216	0	0	0	0	0	154	0	57	0	75	0	345	0	0	348	548	1204	0	136	258	0	0	0	524	319	0	591	0	318	0	0	0	0	3651	694	353	0	0	278	185	0	35	0	175	0	129	0	234	0	0	334	212	53	467	0	0	0	476	0	365	45	0	0	0	108	0	0	105	0	272	660	0	4	280	739	81	164	0	644	0	130	705	402	0	0	285	304	336	653	746	51	33	4	0	0	0	0	745	599	3545	417	621	0	445	124	46	0	0	0	743	334	88	423	0	0	786
2cc5687fce22ccbc75fb5056a7ace66b	199	0	0	3996	672	0	0	251	0	0	0	0	36	0	0	0	132	0	0	0	300	603	14	496	22	0	0	0	0	0	0	49	0	0	0	0	66	0	0	0	0	0	0	0	0	609	0	0	0	0	0	104	0	0	0	0	0	66	4	0	0	77	0	2	0	0	0	1	0	0	0	0	0	0	21	10	0	0	0	0	0	0	0	0	0	0	0	833	66	0	0	821	0	0	0	0	0	0	0	1	0	0	1	211	1134	0	0	0	346	0	105	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1730	0	0	61	0	0	0	0	0	0	0	0	0	68	0	139	0	0	32	338	0	2	0	0	0	0	0	425	91	0	114	1	33	0	0	0	0	191	24	0	0	0	9	71	0	9	0	877	0	0	0	78	0	0	0	5	1335	4809	0	0	0	0	0	2813	0	0	0	0	31	0	0	0	0	0	110	0	0	1114	0	0	0	0	235	0	114	52	530	0	0	0	0	28	115	209	463	700	0	0	0	0	0	0	608	0	19	0	0	7	0	0	0	0	0	0	226	470	17	0	0	304
