# Constructed from biom file
OTU ID	sample-55	sample-126	sample-46	sample-110	sample-86	sample-8	sample-115	sample-52	sample-131	sample-133	sample-128	sample-101	sample-125	sample-36	sample-95	sample-26	sample-89	sample-79	sample-51	sample-37	sample-44	sample-12	sample-10	sample-76	sample-81	sample-99	sample-94	sample-53	sample-42	sample-35	sample-18	sample-107	sample-15	sample-3	sample-11	sample-129	sample-135	sample-49	sample-4	sample-123	sample-71	sample-65	sample-127	sample-63	sample-25	sample-16	sample-118	sample-24	sample-137	sample-22	sample-1	sample-70	sample-104	sample-60	sample-17	sample-73	sample-75	sample-9	sample-106	sample-48	sample-141	sample-144	sample-28	sample-80	sample-21	sample-85	sample-29	sample-83	sample-105	sample-98	sample-88	sample-136	sample-72	sample-111	sample-142	sample-116	sample-68	sample-69	sample-39	sample-45	sample-64	sample-57	sample-84	sample-50	sample-117	sample-82	sample-119	sample-143	sample-38	sample-6	sample-13	sample-103	sample-27	sample-58	sample-93	sample-134	sample-109	sample-96	sample-20	sample-41	sample-140	sample-33	sample-47	sample-34	sample-78	sample-62	sample-30	sample-90	sample-40	sample-97	sample-138	sample-102	sample-112	sample-92	sample-74	sample-124	sample-139	sample-108	sample-61	sample-32	sample-7	sample-77	sample-122	sample-132	sample-66	sample-121	sample-114	sample-31	sample-56	sample-43	sample-23	sample-59	sample-14	sample-19	sample-2	sample-91	sample-87	sample-130	sample-113	sample-54	sample-5	sample-67
4c0c78644783b9d6b44e463bba27921d	357.0	0.0	0.0	0.0	14.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d9992e6970ab9914ff7bc59060e5e5dd	336.0	0.0	28.0	58.0	46.0	59.0	33.0	2.0	35.0	12.0	5.0	0.0	5.0	10.0	167.0	81.0	0.0	0.0	12.0	30.0	12.0	203.0	9.0	0.0	9.0	18.0	35.0	5.0	35.0	15.0	55.0	18.0	0.0	0.0	0.0	47.0	45.0	116.0	0.0	4.0	0.0	9.0	132.0	37.0	5.0	6.0	38.0	3.0	2.0	0.0	41.0	1.0	8.0	2.0	2.0	22.0	0.0	6.0	6.0	2.0	3.0	61.0	0.0	82.0	4.0	14.0	5.0	13.0	9.0	0.0	28.0	2.0	33.0	0.0	90.0	132.0	0.0	7.0	22.0	25.0	0.0	2.0	6.0	11.0	3.0	9.0	0.0	5.0	7.0	0.0	78.0	9.0	0.0	5.0	6.0	31.0	20.0	0.0	0.0	2.0	2.0	6.0	2.0	5.0	0.0	0.0	0.0	100.0	0.0	45.0	202.0	7.0	39.0	15.0	15.0	9.0	2.0	91.0	8.0	4.0	0.0	0.0	2.0	0.0	8.0	3.0	115.0	53.0	0.0	3.0	4.0	0.0	11.0	25.0	45.0	11.0	31.0	6.0	13.0	48.0	13.0	12.0
60fe2df00e8bb6b699ae05be3a6a2ede	220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87342335a9e786a33e820c991397c276	199.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	22.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0	0.0	11.0	13.0	5.0	0.0	0.0	14.0	0.0	0.0	23.0	92.0	6.0	2.0	0.0	4.0	0.0	29.0	0.0	7.0	0.0	2.0	0.0	5.0	2.0	36.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	12.0	0.0	4.0	0.0	2.0	0.0	9.0	0.0	4.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	7.0	10.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	2.0	0.0	26.0	0.0	0.0	0.0	0.0	51.0	11.0	0.0	8.0	0.0	25.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	24.0	8.0	0.0	0.0	40.0	3.0	0.0	13.0	0.0	0.0	9.0	5.0	0.0	0.0	0.0	6.0	0.0	0.0	15.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	3.0	7.0	20.0
10681b6a16af609994a298a6b7aea4d1	172.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	7.0	10.0	0.0	2.0	32.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	22.0	22.0	0.0	8.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	162.0	0.0	0.0	0.0	0.0	8.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	5.0	0.0	0.0	0.0	12.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0
5e6dadcf5cda8f6e566c146313f0c068	160.0	104.0	0.0	0.0	0.0	35.0	124.0	0.0	63.0	0.0	52.0	0.0	349.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	399.0	0.0	5.0	0.0	0.0	9.0	0.0	148.0	0.0	10.0	0.0	309.0	0.0	0.0	0.0	16.0	0.0	0.0	10.0	13.0	3.0	0.0	0.0	0.0	0.0	28.0	27.0	0.0	21.0	4.0	0.0	0.0	47.0	34.0	0.0	0.0	0.0	0.0	0.0	33.0	5246.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	263.0	51.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	208.0	318.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	270.0	9.0	7.0	3.0	32.0	0.0	10.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	69.0	763.0	0.0	1691.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	101.0	0.0	0.0	205.0	4.0	0.0	177.0	0.0
80759793c085efb2190ce1749bfcce73	152.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	171.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6c57b52c223c7b9e8469a5c52e9d2551	145.0	0.0	68.0	0.0	0.0	40.0	124.0	0.0	345.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	174.0	242.0	567.0	0.0	28.0	0.0	715.0	1096.0	209.0	0.0	0.0	11.0	0.0	0.0	0.0	279.0	0.0	0.0	98.0	3.0	89.0	77.0	634.0	299.0	0.0	0.0	65.0	0.0	0.0	53.0	0.0	0.0	68.0	5.0	30.0	0.0	0.0	36.0	5.0	0.0	23.0	235.0	0.0	0.0	11.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	227.0	7.0	0.0	0.0	0.0	0.0	160.0	280.0	182.0	35.0	218.0	88.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	6.0	151.0	0.0	0.0	25.0	74.0	20.0	0.0	38.0	223.0	0.0	341.0	9.0	136.0	0.0	212.0	0.0	6.0	0.0	31.0	0.0	12.0	0.0	56.0	232.0	206.0	230.0	20.0	0.0	9.0	230.0	0.0	285.0	0.0	417.0	131.0	0.0	98.0	275.0	52.0	141.0	0.0	100.0	0.0	509.0	0.0	0.0	280.0
a46609765de789f3e85b8ade46b3fd27	135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	14.0	0.0	0.0	32.0	59.0	0.0	3.0	1.0	7.0	0.0	0.0	13.0	2.0	0.0	55.0	53.0	20.0	3.0	0.0	0.0	0.0	17.0	0.0	4.0	0.0	0.0	0.0	1.0	3.0	75.0	1.0	5.0	10.0	0.0	0.0	42.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	4.0	0.0	17.0	3.0	0.0	2.0	0.0	7.0	0.0	7.0	1.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	12.0	0.0	40.0	1.0	0.0	0.0	6.0	5.0	0.0	0.0	12.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	18.0	13.0	0.0	0.0	8.0	1.0	0.0	0.0	2.0	0.0	3.0	0.0	18.0	1.0	0.0	14.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	2.0
eb2b8c943b056311f7ff7c35edbf65d2	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	89.0	0.0	0.0	0.0	0.0	426.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0
